"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2005"	"2005"	"Nebraska"	"31"	616	1761497	35.0
	"2005"	"2005"	"Nevada"	"32"	487	2432143	20.0
	"2005"	"2005"	"New Hampshire"	"33"	447	1298492	34.4
	"2005"	"2005"	"New Jersey"	"34"	3544	8651974	41.0
	"2005"	"2005"	"New Mexico"	"35"	783	1932274	40.5
	"2005"	"2005"	"New York"	"36"	5439	19132610	28.4
	"2005"	"2005"	"North Carolina"	"37"	3246	8705407	37.3
	"2005"	"2005"	"North Dakota"	"38"	269	646089	41.6
	"2005"	"2005"	"Ohio"	"39"	5419	11463320	47.3
	"2005"	"2005"	"Oklahoma"	"40"	1623	3548597	45.7
	"2005"	"2005"	"Oregon"	"41"	1569	3613202	43.4
	"2005"	"2005"	"Pennsylvania"	"42"	5058	12449990	40.6
	"2005"	"2005"	"Rhode Island"	"44"	389	1067916	36.4
	"2005"	"2005"	"South Carolina"	"45"	1750	4270150	41.0
	"2005"	"2005"	"South Dakota"	"46"	321	775493	41.4
	"2005"	"2005"	"Tennessee"	"47"	2648	5991057	44.2
	"2005"	"2005"	"Texas"	"48"	7581	22778123	33.3
	"2005"	"2005"	"Utah"	"49"	721	2457719	29.3
	"2005"	"2005"	"Vermont"	"50"	237	621215	38.2
	"2005"	"2005"	"Virginia"	"51"	2306	7577105	30.4
	"2005"	"2005"	"Washington"	"53"	2147	6257305	34.3
	"2005"	"2005"	"West Virginia"	"54"	1067	1820492	58.6
	"2005"	"2005"	"Wisconsin"	"55"	1763	5546166	31.8
	"2005"	"2005"	"Wyoming"	"56"	193	514157	37.5
"Total"	"2005"	"2005"			103152	295516599	34.9
	"2006"	"2006"	"Alabama"	"01"	1894	4628981	40.9
	"2006"	"2006"	"Alaska"	"02"	143	675302	21.2
	"2006"	"2006"	"Arizona"	"04"	1595	6029141	26.5
	"2006"	"2006"	"Arkansas"	"05"	1156	2821761	41.0
	"2006"	"2006"	"California"	"06"	9455	36021202	26.2
	"2006"	"2006"	"Colorado"	"08"	1026	4720423	21.7
	"2006"	"2006"	"Connecticut"	"09"	1143	3517460	32.5
	"2006"	"2006"	"Delaware"	"10"	293	859268	34.1
	"2006"	"2006"	"District of Columbia"	"11"	226	570681	39.6
	"2006"	"2006"	"Florida"	"12"	6992	18166990	38.5
	"2006"	"2006"	"Georgia"	"13"	2368	9155813	25.9
	"2006"	"2006"	"Hawaii"	"15"	396	1309731	30.2
	"2006"	"2006"	"Idaho"	"16"	429	1468669	29.2
	"2006"	"2006"	"Illinois"	"17"	3846	12643955	30.4
	"2006"	"2006"	"Indiana"	"18"	2326	6332669	36.7
	"2006"	"2006"	"Iowa"	"19"	1120	2982644	37.6
	"2006"	"2006"	"Kansas"	"20"	1035	2762931	37.5
	"2006"	"2006"	"Kentucky"	"21"	1607	4219239	38.1
	"2006"	"2006"	"Louisiana"	"22"	1972	4302665	45.8
	"2006"	"2006"	"Maine"	"23"	503	1323619	38.0
	"2006"	"2006"	"Maryland"	"24"	1807	5627367	32.1
	"2006"	"2006"	"Massachusetts"	"25"	1595	6410084	24.9
	"2006"	"2006"	"Michigan"	"26"	3804	10036081	37.9
	"2006"	"2006"	"Minnesota"	"27"	1550	5163555	30.0
	"2006"	"2006"	"Mississippi"	"28"	950	2904978	32.7
	"2006"	"2006"	"Missouri"	"29"	2088	5842704	35.7
	"2006"	"2006"	"Montana"	"30"	336	952692	35.3
	"2006"	"2006"	"Nebraska"	"31"	612	1772693	34.5
	"2006"	"2006"	"Nevada"	"32"	464	2522658	18.4
	"2006"	"2006"	"New Hampshire"	"33"	420	1308389	32.1
	"2006"	"2006"	"New Jersey"	"34"	3341	8661679	38.6
	"2006"	"2006"	"New Mexico"	"35"	820	1962137	41.8
	"2006"	"2006"	"New York"	"36"	5215	19104631	27.3
	"2006"	"2006"	"North Carolina"	"37"	3180	8917270	35.7
	"2006"	"2006"	"North Dakota"	"38"	289	649422	44.5
	"2006"	"2006"	"Ohio"	"39"	5232	11481213	45.6
	"2006"	"2006"	"Oklahoma"	"40"	1532	3594090	42.6
	"2006"	"2006"	"Oregon"	"41"	1598	3670883	43.5
	"2006"	"2006"	"Pennsylvania"	"42"	4814	12510809	38.5
	"2006"	"2006"	"Rhode Island"	"44"	337	1063096	31.7
	"2006"	"2006"	"South Carolina"	"45"	1613	4357847	37.0
	"2006"	"2006"	"South Dakota"	"46"	336	783033	42.9
	"2006"	"2006"	"Tennessee"	"47"	2391	6088766	39.3
	"2006"	"2006"	"Texas"	"48"	7051	23359580	30.2
	"2006"	"2006"	"Utah"	"49"	685	2525507	27.1
	"2006"	"2006"	"Vermont"	"50"	257	622892	41.3
	"2006"	"2006"	"Virginia"	"51"	2312	7673725	30.1
	"2006"	"2006"	"Washington"	"53"	2132	6370753	33.5
	"2006"	"2006"	"West Virginia"	"54"	1031	1827912	56.4
	"2006"	"2006"	"Wisconsin"	"55"	1713	5577655	30.7
	"2006"	"2006"	"Wyoming"	"56"	174	522667	33.3
"Total"	"2006"	"2006"			99204	298379912	33.2
	"2007"	"2007"	"Alabama"	"01"	1800	4672840	38.5
	"2007"	"2007"	"Alaska"	"02"	140	680300	20.6
	"2007"	"2007"	"Arizona"	"04"	1568	6167681	25.4
